ItemID,category_name
715,Pop music
285,Pop music
754,Pop music
694,Pop music
702,Pop music
757,Pop music
727,Pop music
726,Pop music
730,Pop music
718,Pop music
732,Pop music
683,Pop music
751,Pop music
719,Pop music
716,Pop music
737,Pop music
676,Pop music
748,Pop music
744,Pop music
743,Pop music
690,Pop music
736,Pop music
741,Pop music
759,Pop music
739,Pop music
735,Pop music
701,Pop music
747,Pop music
700,Pop music
721,Pop music
758,Pop music
687,Pop music
287,Pop music
677,Pop music
679,Pop music
678,Pop music
286,Pop music
696,Pop music
699,Pop music
697,Pop music
681,Pop music
689,Pop music
709,Pop music
693,Pop music
725,Pop music
682,Pop music
680,Pop music
734,Pop music
692,Pop music
723,Pop music
686,Pop music
675,Pop music
752,Pop music
728,Pop music
710,Pop music
703,Pop music
761,Pop music
712,Pop music
695,Pop music
753,Pop music
717,Pop music
705,Pop music
740,Pop music
724,Pop music
733,Pop music
704,Pop music
750,Pop music
684,Pop music
283,Pop music
746,Pop music
706,Pop music
713,Pop music
284,Pop music
731,Pop music
755,Pop music
698,Pop music
720,Pop music
722,Pop music
742,Pop music
685,Pop music
738,Pop music
688,Pop music
267,Disco music
674,Disco music
762,Disco music
745,Disco music
263,Disco music
711,Disco music
266,Disco music
264,Disco music
708,Disco music
691,Disco music
756,Disco music
749,Disco music
265,Disco music
294,Rock music
295,Rock music
760,Rock music
296,Rock music
707,Rock music
297,Rock music
293,Rock music
259,Country music
262,Country music
261,Country music
260,Country music
258,Country music
279,Metal music
282,Metal music
280,Metal music
278,Metal music
281,Metal music
251,Blues music
250,Blues music
252,Blues music
249,Blues music
248,Blues music
714,Hip Hop music
269,Hip Hop music
271,Hip Hop music
270,Hip Hop music
272,Hip Hop music
268,Hip Hop music
729,Hip Hop music
275,Jazz music
273,Jazz music
276,Jazz music
277,Jazz music
274,Jazz music
256,Classical music
257,Classical music
253,Classical music
254,Classical music
255,Classical music
291,Reggae music
292,Reggae music
288,Reggae music
289,Reggae music
290,Reggae music
